combination,pca_num,atlas,accuracy
"('pain', 'relief')",18,schaefer,0.5
"('pain', 'relief')",19,schaefer,0.45
"('pain', 'rest')",1,schaefer,0.25
"('pain', 'rest')",2,schaefer,0.65
"('pain', 'rest')",3,schaefer,0.5
"('pain', 'rest')",4,schaefer,0.5
"('pain', 'rest')",5,schaefer,0.45
"('pain', 'rest')",6,schaefer,0.5
"('pain', 'rest')",7,schaefer,0.75
"('pain', 'rest')",8,schaefer,0.6
"('pain', 'rest')",9,schaefer,0.6
"('pain', 'rest')",10,schaefer,0.55
"('pain', 'rest')",11,schaefer,0.55
"('pain', 'rest')",12,schaefer,0.5
"('pain', 'rest')",13,schaefer,0.5
"('pain', 'rest')",14,schaefer,0.5
"('pain', 'rest')",15,schaefer,0.35
"('pain', 'rest')",16,schaefer,0.4
"('pain', 'rest')",17,schaefer,0.5
"('pain', 'rest')",18,schaefer,0.5
"('pain', 'rest')",19,schaefer,0.35
"('relief', 'rest')",1,schaefer,0.55
"('relief', 'rest')",2,schaefer,0.4
"('relief', 'rest')",3,schaefer,0.4
"('relief', 'rest')",4,schaefer,0.45
"('relief', 'rest')",5,schaefer,0.4
"('relief', 'rest')",6,schaefer,0.45
"('relief', 'rest')",7,schaefer,0.35
"('relief', 'rest')",8,schaefer,0.25
"('relief', 'rest')",9,schaefer,0.35
"('relief', 'rest')",10,schaefer,0.25
"('relief', 'rest')",11,schaefer,0.3
"('relief', 'rest')",12,schaefer,0.25
"('relief', 'rest')",13,schaefer,0.4
"('relief', 'rest')",14,schaefer,0.45
"('relief', 'rest')",15,schaefer,0.25
"('relief', 'rest')",16,schaefer,0.55
"('relief', 'rest')",17,schaefer,0.45
"('relief', 'rest')",18,schaefer,0.3
"('relief', 'rest')",19,schaefer,0.3
"('pain', 'relief')",1,fan,0.0
"('pain', 'relief')",2,fan,0.0
"('pain', 'relief')",3,fan,0.3
"('pain', 'relief')",4,fan,0.2
"('pain', 'relief')",5,fan,0.4
"('pain', 'relief')",6,fan,0.35
"('pain', 'relief')",7,fan,0.6
"('pain', 'relief')",8,fan,0.6
"('pain', 'relief')",9,fan,0.6
"('pain', 'relief')",10,fan,0.45
"('pain', 'relief')",11,fan,0.45
"('pain', 'relief')",12,fan,0.55
"('pain', 'relief')",13,fan,0.55
"('pain', 'relief')",14,fan,0.55
"('pain', 'relief')",15,fan,0.5
"('pain', 'relief')",16,fan,0.45
"('pain', 'relief')",17,fan,0.6
"('pain', 'relief')",18,fan,0.55
"('pain', 'relief')",19,fan,0.5
"('pain', 'rest')",1,fan,0.45
"('pain', 'rest')",2,fan,0.55
"('pain', 'rest')",3,fan,0.5
"('pain', 'rest')",4,fan,0.45
"('pain', 'rest')",5,fan,0.4
"('pain', 'rest')",6,fan,0.45
"('pain', 'rest')",7,fan,0.6
"('pain', 'rest')",8,fan,0.6
"('pain', 'rest')",9,fan,0.55
"('pain', 'rest')",10,fan,0.5
"('pain', 'rest')",11,fan,0.6
"('pain', 'rest')",12,fan,0.6
"('pain', 'rest')",13,fan,0.5
"('pain', 'rest')",14,fan,0.45
"('pain', 'rest')",15,fan,0.4
"('pain', 'rest')",16,fan,0.45
"('pain', 'rest')",17,fan,0.4
"('pain', 'rest')",18,fan,0.55
"('pain', 'rest')",19,fan,0.4
"('relief', 'rest')",1,fan,0.45
"('relief', 'rest')",2,fan,0.4
"('relief', 'rest')",3,fan,0.25
"('relief', 'rest')",4,fan,0.4
"('relief', 'rest')",5,fan,0.45
"('relief', 'rest')",6,fan,0.3
"('relief', 'rest')",7,fan,0.4
"('relief', 'rest')",8,fan,0.3
"('relief', 'rest')",9,fan,0.25
"('relief', 'rest')",10,fan,0.4
"('relief', 'rest')",11,fan,0.4
"('relief', 'rest')",12,fan,0.4
"('relief', 'rest')",13,fan,0.6
"('relief', 'rest')",14,fan,0.4
"('relief', 'rest')",15,fan,0.4
"('relief', 'rest')",16,fan,0.5
"('relief', 'rest')",17,fan,0.5
"('relief', 'rest')",18,fan,0.4
"('relief', 'rest')",19,fan,0.35
