,combination,correlation,pca_num,accuracy
0,"('pain', 'relief')",partial,14,0.13636363636363635
0,"('pain', 'relief')",partial,15,0.18181818181818182
0,"('pain', 'relief')",partial,16,0.2727272727272727
0,"('pain', 'relief')",partial,17,0.2727272727272727
0,"('pain', 'relief')",partial,18,0.22727272727272727
0,"('pain', 'relief')",partial,19,0.22727272727272727
0,"('pain', 'relief')",partial,20,0.13636363636363635
0,"('pain', 'relief')",partial,21,0.13636363636363635
0,"('pain', 'relief')",partial,22,0.13636363636363635
0,"('pain', 'relief')",partial,23,0.13636363636363635
0,"('pain', 'relief')",partial,24,0.13636363636363635
0,"('pain', 'relief')",partial,25,0.13636363636363635
0,"('pain', 'relief')",partial,26,0.13636363636363635
0,"('pain', 'relief')",partial,27,0.13636363636363635
0,"('pain', 'relief')",partial,28,0.13636363636363635
0,"('pain', 'relief')",partial,29,0.13636363636363635
0,"('pain', 'rest')",partial,1,0.36363636363636365
0,"('pain', 'rest')",partial,2,0.18181818181818182
0,"('pain', 'rest')",partial,3,0.13636363636363635
0,"('pain', 'rest')",partial,4,0.13636363636363635
0,"('pain', 'rest')",partial,5,0.09090909090909091
0,"('pain', 'rest')",partial,6,0.09090909090909091
0,"('pain', 'rest')",partial,7,0.09090909090909091
0,"('pain', 'rest')",partial,8,0.22727272727272727
0,"('pain', 'rest')",partial,9,0.18181818181818182
0,"('pain', 'rest')",partial,10,0.13636363636363635
0,"('pain', 'rest')",partial,11,0.09090909090909091
0,"('pain', 'rest')",partial,12,0.13636363636363635
0,"('pain', 'rest')",partial,13,0.18181818181818182
0,"('pain', 'rest')",partial,14,0.2727272727272727
0,"('pain', 'rest')",partial,15,0.22727272727272727
0,"('pain', 'rest')",partial,16,0.18181818181818182
0,"('pain', 'rest')",partial,17,0.13636363636363635
0,"('pain', 'rest')",partial,18,0.18181818181818182
0,"('pain', 'rest')",partial,19,0.18181818181818182
0,"('pain', 'rest')",partial,20,0.18181818181818182
0,"('pain', 'rest')",partial,21,0.18181818181818182
0,"('pain', 'rest')",partial,22,0.18181818181818182
0,"('pain', 'rest')",partial,23,0.18181818181818182
0,"('pain', 'rest')",partial,24,0.18181818181818182
0,"('pain', 'rest')",partial,25,0.18181818181818182
0,"('pain', 'rest')",partial,26,0.18181818181818182
0,"('pain', 'rest')",partial,27,0.18181818181818182
0,"('pain', 'rest')",partial,28,0.18181818181818182
0,"('pain', 'rest')",partial,29,0.18181818181818182
0,"('relief', 'rest')",partial,1,0.0
0,"('relief', 'rest')",partial,2,0.09090909090909091
0,"('relief', 'rest')",partial,3,0.045454545454545456
0,"('relief', 'rest')",partial,4,0.045454545454545456
0,"('relief', 'rest')",partial,5,0.13636363636363635
